latency energy cost
2462 24686 464
2456 24686 464
2448 24686 464
2442 24686 464
2448 24624 547
2442 24624 547
2463 24287 464
2456 24287 464
2450 24287 464
2448 24287 464
2442 24287 464
2456 24284 464
2450 24284 464
2448 24284 464
2442 24284 464
2448 24119 464
2442 24119 464
2448 24116 464
2442 24116 464
2437 24279 547
2437 24223 547
2437 24167 547
2437 23999 547
2464 23924 526
2458 23924 526
2458 23890 504
2433 24211 526
2425 24211 526
2439 24177 504
2431 24177 504
2425 24177 504
2447 23778 504
2439 23778 504
2431 23778 504
2425 23778 504
2425 23809 526
2434 23775 504
2425 23775 504
2463 24630 421
2463 24231 421
2460 24608 443
2454 24608 443
2448 24608 443
2436 24635 479
2430 24635 479
2444 24608 443
2436 24608 443
2430 24608 443
2454 24574 421
2448 24574 421
2436 24574 421
2430 24574 421
2436 24175 421
2430 24175 421
2457 24153 443
2451 24153 443
2463 24119 421
2457 24119 421
2451 24119 421
2463 24440 443
2463 24406 421
2463 24041 443
2463 24007 421
2440 24411 479
2436 24411 479
2430 24411 479
2440 24384 443
2430 24384 443
2430 23985 443
2430 23951 421
2463 24004 421
2450 23948 421
2444 23948 421
2442 23948 421
2436 23948 421
2430 23948 421
2444 23895 421
2438 23895 421
2436 23895 421
2430 23895 421
2444 23892 421
2438 23892 421
2436 23892 421
2430 23892 421
2424 24297 547
2424 24119 547
2424 24063 547
2424 23895 547
2422 24235 547
2422 24179 547
2420 24235 547
2414 24235 547
2420 24179 547
2414 24179 547
2422 24011 547
2414 24011 547
2422 23833 547
2422 23777 547
2414 23833 547
2420 23777 547
2414 23777 547
2447 23609 547
2437 23609 547
2431 23609 547
2428 23609 547
2422 23609 547
2420 23609 547
2414 23609 547
2428 23497 547
2420 23497 547
2414 23497 547
2427 24742 464
2425 24742 464
2419 24742 464
2427 24713 500
2419 24713 500
2419 24686 464
2427 24343 464
2419 24343 464
2425 24287 464
2419 24287 464
2419 24340 464
2425 24284 464
2419 24284 464
2425 24231 464
2419 24231 464
2425 24228 464
2419 24228 464
2427 24119 464
2419 24119 464
2427 24063 464
2419 24063 464
2427 24060 464
2419 24060 464
2413 24945 526
2407 24945 526
2417 24889 526
2413 24889 526
2407 24889 526
2417 24546 526
2415 24546 526
2413 24546 526
2407 24546 526
2417 24490 526
2413 24490 526
2407 24490 526
2407 24855 504
2413 24456 504
2407 24456 504
2417 24487 526
2415 24487 526
2407 24487 526
2417 24509 504
2407 24509 504
2415 24453 504
2407 24453 504
2417 24266 526
