latency energy cost
2419 23399 382
2411 23399 382
2410 23459 465
2418 22979 382
2410 22979 382
2430 23794 299
2463 23264 299
2423 23926 381
2415 23926 381
2407 23823 465
2407 23421 465
2407 24294 464
2407 23892 464
2406 23001 465
2421 23907 360
2415 23907 360
2429 23873 338
2421 23873 338
2415 23873 338
2421 23870 338
2415 23870 338
2407 24272 443
2407 24238 421
2407 23873 443
2407 23839 421
2407 23836 421
2402 23307 526
2402 23273 504
2401 23289 526
2405 22901 492
2401 22890 526
2405 22898 492
2401 22887 526
2407 23624 443
2407 23400 443
2407 23397 443
2426 23795 360
2434 23761 338
2426 23761 338
2434 23758 338
2426 23758 338
2419 23851 360
2411 23851 360
2417 23848 360
2413 23848 360
2411 23848 360
2417 23814 338
2413 23814 338
2411 23814 338
2406 23234 382
2406 23231 382
2403 24243 479
2403 24216 443
2403 24182 421
2403 23817 443
2403 23783 421
2405 23780 421
2403 23780 421
2402 23655 465
2402 23256 465
2402 23253 465
2459 22814 382
2451 22814 382
2405 22814 382
2451 22811 382
2413 22811 382
2405 22811 382
2401 23275 498
2401 23235 465
2401 22876 498
2401 22836 465
2401 22833 465
2461 23396 381
2459 23396 381
2459 23284 381
2405 22811 382
2403 23780 421
2401 22833 465
2411 23814 338
2463 23264 299
2430 23794 299
2426 23758 338
2459 23284 381
