latency energy cost
2442 23512 492
2436 23512 492
2465 23284 513
2465 23172 513
2465 23060 513
2465 22948 513
2427 23815 547
2417 23815 547
2425 23759 547
2417 23759 547
2417 23535 547
2430 23374 513
2427 23374 513
2423 23424 513
2417 23424 513
2450 23200 513
2447 23200 513
2444 23200 513
2441 23200 513
2440 23200 513
2434 23200 513
2431 23200 513
2426 23368 513
2423 23368 513
2426 23200 513
2423 23200 513
2417 23200 513
2423 23088 513
2417 23088 513
2425 23512 492
2417 23512 492
2414 22898 492
2405 22898 492
2454 23837 464
2448 23837 464
2457 23834 464
2448 23834 464
2457 23666 464
2448 23666 464
2446 23784 464
2444 23498 464
2442 23498 464
2436 23498 464
2465 23024 464
2465 22912 464
2441 23164 464
2433 23164 464
2431 23164 464
2423 23164 464
2417 23164 464
2425 23052 464
2417 23052 464
2415 23282 464
2415 23170 464
2422 22884 464
2421 22884 464
2413 22884 464
2405 22884 464
2462 23327 431
2462 23271 431
2418 23012 431
2410 23012 431
2463 23485 430
2463 23373 430
2446 24574 421
2438 24574 421
2436 24630 421
2430 24630 421
2430 24574 421
2459 24462 421
2444 24350 421
2438 24350 421
2446 24294 421
2438 24294 421
2436 24350 421
2430 24350 421
2430 24294 421
2463 24284 421
2436 24228 421
2430 24228 421
2438 24172 421
2430 24172 421
2451 24071 387
2436 23903 387
2430 23903 387
2438 23847 387
2430 23847 387
2463 23784 415
2463 23264 299
2462 24242 299
2456 24242 299
2454 24242 299
2448 24242 299
2442 24242 299
2462 24186 299
2456 24186 299
2456 24018 299
2454 24018 299
2448 24018 299
2442 24186 299
2442 24018 299
2442 23962 299
2438 24074 299
2430 24074 299
2458 23850 299
2450 23850 299
2442 23850 299
2436 23850 299
2430 23850 299
2438 23794 299
2430 23794 299
2459 23396 381
2461 23284 381
2459 23284 381
2428 24038 338
2426 24038 338
2426 23814 338
2428 23758 338
2426 23758 338
2401 23100 498
2401 23097 498
2418 22873 498
2401 22873 498
2423 23836 421
2415 23836 421
2407 23836 421
2403 24406 421
2403 24182 421
2403 24060 421
2405 24004 421
2403 24004 421
2411 23780 421
2403 23780 421
2405 22884 464
2401 22873 498
2403 23780 421
2410 23012 431
2463 23264 299
2430 23794 299
2459 23284 381
2426 23758 338
